Category,Id,Name,pDate,Quantity,CostPrice,Usefull_Life,PReason,dep_%,dep_Amt.
LAND & BUILDINGS,22,COMMUNITY HALL,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,3125000,50, ,2,42125000
LAND & BUILDINGS,23,STORAGE SHED,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,911000,15, ,6.666666666666667,40934266.66666667
LAND & BUILDINGS,24,DRAWING OFFICE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,174000,3, ,33.333333333333336,39092000
LAND & BUILDINGS,25,SHED FOR M.T.,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1651000,29, ,3.4482758620689653,38371517.241379306
LAND & BUILDINGS,26,STORE GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,769000,15, ,6.666666666666667,34553733.33333334
LAND & BUILDINGS,27,RAILWAY PLATFORM,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,237000,5, ,20,31947600
LAND & BUILDINGS,28,AIR CONDITION ROOM,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,134000,3, ,33.333333333333336,30105333.333333336
LAND & BUILDINGS,29,STORAGE BUILDING,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,823000,21, ,4.761904761904762,26414380.95238095
LAND & BUILDINGS,30,STORAGE BUILDING,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,823000,21, ,4.761904761904762,26414380.95238095
LAND & BUILDINGS,31,TELEPHONE EXCHANGE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,248000,7, ,14.285714285714286,23878857.142857146
LAND & BUILDINGS,32,STORAGE SHED,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,627000,18, ,5.555555555555555,23477666.666666664
LAND & BUILDINGS,33,NEW BUILDING WORKMEN CLUB,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,474000,14, ,7.142857142857143,22819714.285714287
LAND & BUILDINGS,34,STORE BLDG.,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,889000,27, ,3.7037037037037037,22192074.07407408
LAND & BUILDINGS,35,DISPOSAL STORE BLDG.,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1013000,31, ,3.225806451612903,22024580.64516129
LAND & BUILDINGS,36,STORAGE SHED,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,714000,22, ,4.545454545454546,21874363.63636364
LAND & BUILDINGS,37,STORAGE SHED,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,714000,22, ,4.545454545454546,21874363.63636364
LAND & BUILDINGS,38,DISPOSAL STORE BLDG.,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1005000,31, ,3.225806451612903,21850645.16129032
LAND & BUILDINGS,39,STORE BLDG.,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1112000,36, ,2.7777777777777777,20819111.111111112
LAND & BUILDINGS,40,VACANT AREA,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,85000,3, ,33.333333333333336,19096666.666666668
LAND & BUILDINGS,41,BLOCK GARRAGE OF 3 WAYS,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,335000,12, ,8.333333333333334,18815833.333333336
LAND & BUILDINGS,42,BLKT. INSP. POINT,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,990000,38, ,2.6315789473684212,17559473.684210528
LAND & BUILDINGS,43,FIRE BRIGADE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,351000,14, ,7.142857142857143,16898142.85714286
LAND & BUILDINGS,44,One Block of 15 Shops,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,830000,35, ,2.857142857142857,15983428.571428573
LAND & BUILDINGS,45,GARRIAGE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,71000,3, ,33.333333333333336,15951333.333333336
LAND & BUILDINGS,46,SHOP IN DOUBLE STOREY MARKET,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,635000,27, ,3.7037037037037037,15851481.481481483
LAND & BUILDINGS,47,DYING SECTION,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,112000,5, ,20,15097600
LAND & BUILDINGS,48,D.G. SET ROOM,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,459000,21, ,4.761904761904762,14731714.285714285
LAND & BUILDINGS,49,JCOs QTRS. (BLOCK OF 2 QTRS),Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,623000,30, ,3.3333333333333335,13996733.333333336
LAND & BUILDINGS,50,EXTN. OF STORE R&I OFFICE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,589000,29, ,3.4482758620689653,13689172.413793104
LAND & BUILDINGS,51,SUSPENSE GODOWN (MM),Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,501000,29, ,3.4482758620689653,11643931.034482758
LAND & BUILDINGS,52,SUSPENSE GODOWN(EM),Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,501000,29, ,3.4482758620689653,11643931.034482758
LAND & BUILDINGS,53,COMMUNITY HALL,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,601000,35, ,2.857142857142857,11573542.857142858
LAND & BUILDINGS,54,M.T. SECTION,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,206000,12, ,8.333333333333334,11570333.333333336
LAND & BUILDINGS,55,SINGLE PUMP,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,202000,12, ,8.333333333333334,11345666.666666668
LAND & BUILDINGS,56,BLOCK GARRAGE OF 3 WAYS,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,195000,12, ,8.333333333333334,10952500
LAND & BUILDINGS,57,NEW BLDG. FOR EW.,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,464000,29, ,3.4482758620689653,10784000
LAND & BUILDINGS,58,SUB-STATION (B.P),Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,551000,36, ,2.7777777777777777,10315944.444444444
LAND & BUILDINGS,59,OFFICER OFFICE 03 ROOM SET,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,421000,31, ,3.225806451612903,9153354.838709677
LAND & BUILDINGS,60,GAS GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,543000,40, ,2.5,9149550
LAND & BUILDINGS,61,SHED FOR FIRE TENDER,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,329000,27, ,3.7037037037037037,8212814.814814815
LAND & BUILDINGS,62,O.H TANK,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,309000,26, ,3.8461538461538463,8010230.76923077
LAND & BUILDINGS,63,EXT. OF SCOOTER SHED,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,282000,27, ,3.7037037037037037,7039555.555555556
LAND & BUILDINGS,64,TWO ROOMS,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,159000,16, ,6.25,6697875
LAND & BUILDINGS,65,REST ROOM (FIRE WORKERS),Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,268000,28, ,3.5714285714285716,6451142.857142857
LAND & BUILDINGS,66,SHOPPING COMPLEX,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,234000,26, ,3.8461538461538463,6066000
LAND & BUILDINGS,67,SCOOTER SHED,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,191000,27, ,3.7037037037037037,4767925.925925926
LAND & BUILDINGS,68,MRS/S BLDG.,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,218000,32, ,3.125,4591625
LAND & BUILDINGS,69,ENCLOSURE FUEL,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,143000,21, ,4.761904761904762,4589619.047619048
LAND & BUILDINGS,70,ACCOUNTS CLUB,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,159000,27, ,3.7037037037037037,3969111.1111111115
LAND & BUILDINGS,71,Toilet for authorised serv. Qtrs. (26 No,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,270000,56, ,1.7857142857142858,3249642.8571428573
LAND & BUILDINGS,72,SECURITY BASTON,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,122000,26, ,3.8461538461538463,3162615.384615385
LAND & BUILDINGS,73,SECURITY BASTON,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,122000,26, ,3.8461538461538463,3162615.384615385
LAND & BUILDINGS,74,SECURITY BASTON,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,122000,26, ,3.8461538461538463,3162615.384615385
LAND & BUILDINGS,75,SECURITY BASTON,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,122000,26, ,3.8461538461538463,3162615.384615385
LAND & BUILDINGS,76,SECURITY BASTON,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,133000,31, ,3.225806451612903,2891677.419354839
LAND & BUILDINGS,77,AMBULANCE SHED,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,52000,14, ,7.142857142857143,2503428.571428572
LAND & BUILDINGS,78,STORE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,106000,32, ,3.125,2232625
LAND & BUILDINGS,79,B.M. GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,80000,25, ,4,2156800
LAND & BUILDINGS,80,Toilet for contract labours & others (08,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,83000,56, ,1.7857142857142858,998964.2857142858
LAND & BUILDINGS,81,Toilets for O.F. School (08 Nos.),Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,83000,56, ,1.7857142857142858,998964.2857142858
LAND & BUILDINGS,82,CONTROL ROOM ETP,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,39000,32, ,3.125,821437.5
LAND & BUILDINGS,83,SHOP IN D.S. MARKET,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,14000,29, ,3.4482758620689653,325379.3103448276
LAND & BUILDINGS,84,REST SHED ( CAR PARK ),Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,177000,0, ,Infinity,Infinity
LAND & BUILDINGS,85,C-2  YARD  P-4 CARD,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,519000,0, ,Infinity,Infinity
LAND & BUILDINGS,86,ENGG. OFFICE  MM  DGM/ME,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1435000,0, ,Infinity,Infinity
LAND & BUILDINGS,87,CC STORE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,544000,0, ,Infinity,Infinity
LAND & BUILDINGS,88,TESTING M/C SHED,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,457000,0, ,Infinity,Infinity
LAND & BUILDINGS,89,AUDIT PARTY/R. GROUP,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,181000,0, ,Infinity,Infinity
LAND & BUILDINGS,90,SECURITY MAIN OFFICE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,181000,0, ,Infinity,Infinity
LAND & BUILDINGS,91,RLY GARMENT GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,514000,0, ,Infinity,Infinity
LAND & BUILDINGS,92,PV RECORD & P-9 OFFICE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,131000,0, ,Infinity,Infinity
LAND & BUILDINGS,93,ELEC.L MAINTENCE WORKSHOP,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,273000,0, ,Infinity,Infinity
LAND & BUILDINGS,94,L.O.  SVG & SQC OFFICE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,476000,0, ,Infinity,Infinity
LAND & BUILDINGS,95,MAIN GATE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,2265000,0, ,Infinity,Infinity
LAND & BUILDINGS,96,YARD & OUTSOURCING CELL,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1359000,0, ,Infinity,Infinity
LAND & BUILDINGS,97,DEV. SECTION,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1737000,0, ,Infinity,Infinity
LAND & BUILDINGS,98,PRAYAR ROOM,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,168000,0, ,Infinity,Infinity
LAND & BUILDINGS,99,A.O. OFFICE & DISPANSARY,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1586000,0, ,Infinity,Infinity
LAND & BUILDINGS,100,MAIN PROD. & CUTTING SHOP,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,20226000,0, ,Infinity,Infinity
LAND & BUILDINGS,101,MM GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,508000,0, ,Infinity,Infinity
LAND & BUILDINGS,102,GMS OFFICE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,625000,0, ,Infinity,Infinity
LAND & BUILDINGS,103,ESTT. 2,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,273000,0, ,Infinity,Infinity
LAND & BUILDINGS,104,PLANNING & OFFICES,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,554000,0, ,Infinity,Infinity
LAND & BUILDINGS,105,CARPENTERY SHOP,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,419000,0, ,Infinity,Infinity
LAND & BUILDINGS,106,CAD CAM SHOP,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,8106000,0, ,Infinity,Infinity
LAND & BUILDINGS,107,MM GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,820000,0, ,Infinity,Infinity
LAND & BUILDINGS,108,EW SHOP,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,817000,0, ,Infinity,Infinity
LAND & BUILDINGS,109,B.M. SECTION,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,852000,0, ,Infinity,Infinity
LAND & BUILDINGS,110,VACANT AREA,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,159000,0, ,Infinity,Infinity
LAND & BUILDINGS,111,PUMP HOUSE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,133000,0, ,Infinity,Infinity
LAND & BUILDINGS,112,WOOLEN GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1900000,0, ,Infinity,Infinity
LAND & BUILDINGS,113,STORE OFFICE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,268000,0, ,Infinity,Infinity
LAND & BUILDINGS,114,GARNITURE GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1691000,0, ,Infinity,Infinity
LAND & BUILDINGS,115,IGS WING-II,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,286000,0, ,Infinity,Infinity
LAND & BUILDINGS,116,STORE GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1406000,0, ,Infinity,Infinity
LAND & BUILDINGS,117,IGS INSPECTION BLDG.,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1375000,0, ,Infinity,Infinity
LAND & BUILDINGS,118,COAL GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,322000,0, ,Infinity,Infinity
LAND & BUILDINGS,119,MAT. GODOWN GENL.,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,379000,0, ,Infinity,Infinity
LAND & BUILDINGS,120,OLD PV,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1598000,0, ,Infinity,Infinity
LAND & BUILDINGS,121,IGS BUILDING,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,368000,0, ,Infinity,Infinity
LAND & BUILDINGS,122,GENERAL-D GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,637000,0, ,Infinity,Infinity
LAND & BUILDINGS,123,GENERAL-D GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,333000,0, ,Infinity,Infinity
LAND & BUILDINGS,124,GENERAL-D GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,546000,0, ,Infinity,Infinity
LAND & BUILDINGS,125,GENERAL-D GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,406000,0, ,Infinity,Infinity
LAND & BUILDINGS,126,B.M. GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,49000,0, ,Infinity,Infinity
LAND & BUILDINGS,127,P-9 GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,149000,0, ,Infinity,Infinity
LAND & BUILDINGS,128,RLY. PLATFORM,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,265000,0, ,Infinity,Infinity
LAND & BUILDINGS,129,OIL GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,21000,0, ,Infinity,Infinity
LAND & BUILDINGS,130,GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,21000,0, ,Infinity,Infinity
LAND & BUILDINGS,131,PETROL GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,214000,0, ,Infinity,Infinity
LAND & BUILDINGS,132,GODOWN NSO & RECORD,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,2788000,0, ,Infinity,Infinity
LAND & BUILDINGS,133,P&D SECTION,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,2313000,0, ,Infinity,Infinity
LAND & BUILDINGS,134,RAILWAY CC STORE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,3535000,0, ,Infinity,Infinity
LAND & BUILDINGS,135,SANTRY POSTS,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,72000,0, ,Infinity,Infinity
LAND & BUILDINGS,136,SANTRY POSTS,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,70000,0, ,Infinity,Infinity
LAND & BUILDINGS,137,PRODUCTION SHOP,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,2648000,0, ,Infinity,Infinity
LAND & BUILDINGS,138,PRODUCTION SHOP,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,2827000,0, ,Infinity,Infinity
LAND & BUILDINGS,139,PRODUCTION SHOP,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,3011000,0, ,Infinity,Infinity
LAND & BUILDINGS,140,R&I  WI SECTION & GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1308000,0, ,Infinity,Infinity
LAND & BUILDINGS,141,CASH OFFICE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,545000,0, ,Infinity,Infinity
LAND & BUILDINGS,142,SAFETY OFFICE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,91000,0, ,Infinity,Infinity
LAND & BUILDINGS,143,G.Ms BUNGLOW,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,993000,0, ,Infinity,Infinity
LAND & BUILDINGS,144,SERVANT QTS & GARRAGE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,263000,0, ,Infinity,Infinity
LAND & BUILDINGS,145,BOUNGLOW,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,967000,0, ,Infinity,Infinity
LAND & BUILDINGS,146,SER. QRS. STABLE&GARRAGE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,208000,0, ,Infinity,Infinity
LAND & BUILDINGS,147,BOUNGLOW,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,967000,0, ,Infinity,Infinity
LAND & BUILDINGS,148,SER.QRS.STABLE&GARRAGE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,208000,0, ,Infinity,Infinity
LAND & BUILDINGS,149,BUNGLOW,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,967000,0, ,Infinity,Infinity
LAND & BUILDINGS,150,SER.QRS.STABLE&GARRGE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,208000,0, ,Infinity,Infinity
LAND & BUILDINGS,151,BUNGLOW,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,967000,0, ,Infinity,Infinity
LAND & BUILDINGS,152,SER QRS STABLE & GARRAGE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,208000,0, ,Infinity,Infinity
LAND & BUILDINGS,153,BUNGLOW,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,889000,0, ,Infinity,Infinity
LAND & BUILDINGS,154,SER QRS & GARRAGE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,208000,0, ,Infinity,Infinity
LAND & BUILDINGS,155,BUNGLOW,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,710000,0, ,Infinity,Infinity
LAND & BUILDINGS,156,BUNGLOW,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1144000,0, ,Infinity,Infinity
LAND & BUILDINGS,157,BUNGLOW,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1120000,0, ,Infinity,Infinity
LAND & BUILDINGS,158,BUNGLOW,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1120000,0, ,Infinity,Infinity
LAND & BUILDINGS,159,BUNGLOW,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1243000,0, ,Infinity,Infinity
LAND & BUILDINGS,160,BOUNGLOW,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1243000,0, ,Infinity,Infinity
LAND & BUILDINGS,161,BUNGLOW,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1238000,0, ,Infinity,Infinity
LAND & BUILDINGS,162,QTR. TYPE-VI,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,752000,0, ,Infinity,Infinity
LAND & BUILDINGS,163,QTR. TYPE-VI,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,752000,0, ,Infinity,Infinity
LAND & BUILDINGS,164,QTR. TYPE-VI,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,583000,0, ,Infinity,Infinity
LAND & BUILDINGS,165,QTR. TYPE-VI,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,583000,0, ,Infinity,Infinity
LAND & BUILDINGS,166,QTR. TYPE-VI,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,583000,0, ,Infinity,Infinity
LAND & BUILDINGS,167,QTR TYPE-VI,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,583000,0, ,Infinity,Infinity
LAND & BUILDINGS,168,QTRS TYPE-VII,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,720000,0, ,Infinity,Infinity
LAND & BUILDINGS,169,QTRS TYPE-VI,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,583000,0, ,Infinity,Infinity
LAND & BUILDINGS,170,QTRS TYPE-VI,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,583000,0, ,Infinity,Infinity
LAND & BUILDINGS,171,QTRS TYPE-VI,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,378000,0, ,Infinity,Infinity
LAND & BUILDINGS,172,QTRS. TYPE-VI,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,316000,0, ,Infinity,Infinity
